name,sentiment_score,vader_score,retweet_count
kanyewest,0,0.0,1233
kanyewest,0,0.0,510
kanyewest,0,0.6369,158
kanyewest,0,0.3969,16618
kanyewest,0,0.0,1637
kanyewest,0,0.8126,1957
kanyewest,0,0.5473,1234
kanyewest,0,-0.3806,11034
kanyewest,0,-0.26,5175
kanyewest,0,0.0,4524
kanyewest,0,0.0,460
kanyewest,0,0.0,3234
kanyewest,0,0.1779,1256
kanyewest,0,0.0,1346
kanyewest,0,0.4767,1488
kanyewest,0,-0.7717,85294
kanyewest,0,0.4215,8228
kyliejenner,0,0.5719,143
kyliejenner,0,0.0,222
kyliejenner,0,0.0,17989
kyliejenner,0,0.6467,282
kyliejenner,0,0.6369,4541
kyliejenner,1,0.9422,132
kyliejenner,0,0.508,198
kyliejenner,0,0.4215,338
kyliejenner,0,0.0,49
kyliejenner,0,0.6486,51
kyliejenner,1,0.6114,385
kyliejenner,0,0.0,1826
kyliejenner,0,0.0,236
kyliejenner,0,0.0,221
kyliejenner,0,0.7772,1288
kyliejenner,0,0.0,157
kyliejenner,0,0.3802,114
kyliejenner,0,0.5319,2702
kyliejenner,0,0.128,557
kyliejenner,0,-0.3718,1097
kyliejenner,0,0.0,2846
kyliejenner,0,0.0,207
kyliejenner,0,0.7111,132
kyliejenner,0,0.3954,65
kyliejenner,0,0.0,130
kyliejenner,0,0.0,324
kyliejenner,0,0.0,262
kyliejenner,0,0.0,462
kyliejenner,0,0.6962,936
kyliejenner,0,0.8478,850
kyliejenner,0,0.7096,541
kyliejenner,0,0.8439,248
kyliejenner,0,0.3612,8559
kyliejenner,1,0.9665,117
kyliejenner,0,0.0,213
kyliejenner,0,0.0,138
kyliejenner,0,0.6369,2175
kyliejenner,0,0.0,121
kyliejenner,0,0.9558,287
kyliejenner,0,-0.1759,308
kyliejenner,0,0.9669,844
kyliejenner,0,0.0,148
kyliejenner,0,0.9523,96
kyliejenner,0,0.0,188
kyliejenner,0,0.0,125
kyliejenner,0,0.6369,13385
kyliejenner,0,0.8087,163
kyliejenner,0,0.87,296
kyliejenner,0,0.9186,185
kyliejenner,0,0.6825,142
kyliejenner,0,-0.5093,154
kyliejenner,0,0.936,706
